0,1,2,3,4,5
Description,Head Count,,Head Count,,Total
,Male,% of Total,Female,% of Total,
Directors,8,53%,7,47%,15
General Managers,27,75%,9,25%,36
Deputy General Managers,26,84%,5,16%,31
"Assistant General
Managers",78,70%,33,30%,111
Total,139,72%,54,28%,193
