0,1,2,3,4,5,6,7
,,,Group,,,Company,
,,"Unaudited
Q1 2025
N'000","Unaudited
Q1 2024
N'000","Audited
2024
N'000","Unaudited
Q1 2025
N'000","Unaudited
Q1 2024
N'000","Audited
2024
N'000"
Issued capital and reserves attributable to,,,,,,,
owners of the parent,,,,,,,
Share Capital,,"2,348,030","2,348,030","2,348,030","2,348,030","2,348,030","2,348,030"
Share Premium,,"35,008","35,008","35,008","35,008","35,009","35,008"
Revaluation Reserve,,"4,755,307","4,755,307","4,755,307","1,463,364","1,463,364","1,463,364"
Revenue Reserve,,,,,,,
Capital Reserve,,"145,522","145,522","145,522",,,
Retained Earnings,,"(1,640,107)","(1,994,762)","(1,788,977)","149,340","(60,965)","144,929"
Fairvalue Reserve,,156,156,156,,"(15,546)",
Equity Attributable to Owners of the Parent,,"5,733,106","5,289,261","5,495,046","3,995,742","3,769,891","3,991,331"
Non-Controlling Interest,,"4,649,782","4,499,705","4,498,278",,,
TOTAL EQUITY,,"10,382,888","9,773,264","9,993,324","3,995,742","3,769,891","3,991,331"
