0,1,2,3
Outstanding liability,"Main result
N million","7.5% forfeiture
N million","7.5% forfeiture
N million"
"31 December 2024
Changes (%)","2,973","2,872
-3.40%","2,772
-6.76%"
"31 December 2023
Changes (%)","3,596","3,473
-3.41%","3,352
-6.78%"
