0,1,2
S/N,NAME,STATUS
1.,Mr. Segun Oloketuyi,Chairman
2.,Alhaji Yusufu Modibbo,Member
3.,Mrs. Mayowa Olaniyan,Member
4.,Sir Abiola Ayobola,Member
5.,Mr. Mohammed Bashir Yunusa,Member
