0,1,2,3,4
,Strike price (N),"Number outstanding as
at 31 December 2022","Adjustment for
forfeitures","Number outstanding as
at 31 December 2022"
"13 December 2021
30 June 2022
Total","-
-
-","10,409,990
111,200
10,521,190","701,600
-
701,600","9,708,390
111,200
9,819,590"
