0,1,2,3,4
"Paints and
allied
products","Contract
revenue","Investment
property
rental
income",Unallocated,Total
"7,603,703
-
-
(214,869)
44,566
677,243","306,478
-
-
-
-
97,457","33,315
-
-
(20,360)
-
12,955","-
40,546
(28,419)
-
-
12,127",
,,,,
"Paints and
allied
products","Contract
revenue","Investment
property
rental
income",Unallocated,Total
"6,198,304
-
-
(227,506)
-
330,003","133,330
-
-
-
-
34,738","43,134
-
-
(20,360)
(11,579)
11,195","-
14,865
(3,011)
-
-
11,854","6,374,768
14,865
(3,011)
(247,866)
(11,579)
387,790"
