0,1,2,3
Description,Gender,Head Count,% of Total
Group,Male,"5,007",54%
,Female,"4,316",46%
,Total,"9,323",100%
Bank,Male,"2,784",52%
,Female,"2,583",48%
,Total,"5,367",100%
