0,1,2,3,4,5,6,7,8
In thousands of Nigerian Naira,,,Funds under Management,,,,,
,,,,Sep-25,,,Dec-24,
,,,,,,,,
Fund I,,,,"2,111,522",,,"711,088",
,,,"66,115,850",,,,,
Fund III,,,,"16,634,757",,,"11,102,196",
,,,"3,135,304",,,,,
Fund V,,,,"28,600",,,"13,875",
,,,"739,823",,,,,
TCF1 And Reconiliation,,,,"482,154",,,"492,293",
,,,,,,,,
,Approved Existing Schemes,,,"46,671,475",,,"39,116,540",
,,,"135,919,485",,,,,
