0
"178,847,572 4 ,819,364,572"
"2 01,231,713 4 ,819,364,572"
"158,494,589"
"8 1,371,245"
"1 1,788,945"
"8 7,525,668"
-
"24,598,044"
-
-
"28,627,023"
