0,1,2,3
,"Expense previously
shown
N million","Adjustment for
forfeitures
N million","Number outstanding as
at 31 December 2023
N million"
"13 December 2021
30 June 2022
31 December 2022
30 June 2023
31 December 2023","17
170
166
168
168","-
-
-
-
29","17
170
166
168
139"
