0,1,2,3,4,5,6,7,8,9
Group,Share capital,Share premium,"Revaluation
reserves","Capital
reserves","Fair
value
reserves","Retained
earnings",Total,"Non-
controlling
interests",Group
Balance at 1 January 2025,"2,348,030","35,008","4,755,307","1 45,522",156,"(1,788,977)","5 ,495,046","4 ,498,274","9,993,320"
Statement of profit or loss,,,,,,"418,958","4 18,958","79,729","339,229"
Other comprehensive income,,,,,,,-,,-
Balance at 30 June 2025,"2,348,030","35,008","4,755,307","1 45,522",156,"(1,370,019)","5 ,914,004","4 ,578,003","10,492,008"
,,,,,,,,,-
"Balance at 30 June, 2025","2,348,030","35,008","4,755,307","1 45,522",156,"(1,370,019)","5 ,914,004","4 ,578,003","10,492,008"
