0,1,2,3
Grant date,Vesting date,Expected option lifetime,Continuous risk-free rate
"13 December 2023
13 December 2024","13 December 2026
13 December 2027
13 December 2028
13 December 2027
13 December 2028
13 December 2029","3
4
5
3
4
5","13.71
14.76
14.67
18.07
17.73
17.98"
