0,1,2,3,4,5
Food,,Beverage,,Total,
Jan - Sep 2025,Jan - Sep 2024,Jan - Sep 2025,Jan - Sep 2024,Jan - Sep 2025,Jan - Sep 2024
"578,347,438","424,257,967","306,189,462","241,031,794","884,536,899","665,289,761"
"(354,636,918)
(19,594,722)
125,760,964
(33,316,996)","(295,869,398)
(12,416,943)
67,355,121
( 228,545,153)","(203,024,676)
(9,052,179)
55,582,699
(20,071,285)","(163,108,439)
(6,957,774)
43,488,731
( 137,683,328)","( 557,661,594)
( 28,646,900)
181,343,663
( 53,388,281)","( 458,977,837)
( 19,374,717)
110,843,852
( 366,228,482)"
