0,1,2,3,4
"United Bank for Africa Plc
Consolidated and Separate Statements of Financial Position
As at 31 December 2024
Group Bank
Notes
31 Dec. 24 31 Dec. 23 31 Dec. 24 31 Dec. 23
In millions of Nigerian Naira
ASSETS
Cash and bank balances 22 8,163,668 6,069,497 6,732,741 5,036,380
Financial assets at fair value through profit or loss 23 100,687 33,849 18,018 534
Assets under management 24 15,175 14,026 15,175 14,026
Derivative assets 33(a) 188,583 498,824 188,583 498,824
Loans and advances to banks 25 556,072 320,732 290,941 147,547
Loans and advances to customers 26 6,954,545 5,228,849 3,920,533 3,320,373
Investment securities:
- At fair value through other comprehensive income 27 4,942,106 3,093,036 4,131,287 2,710,345
- At amortised cost 27 7,592,399 4,314,957 462,964 174,706
Other assets 28 1,186,262 758,685 977,818 607,252
Investment in subsidiaries 29 - - 184,290 184,290
Property and equipment 30 416,623 267,146 250,148 172,734
Intangible assets 31 66,864 43,855 13,641 10,763
Deferred tax assets 32 140,371 9,741 105,817 -",,,,
,"8,163,668
100,687
15,175
188,583
556,072
6,954,545
4,942,106
7,592,399
1,186,262
-
416,623
66,864
140,371",,"6,732,741
18,018
15,175
188,583
290,941
3,920,533
4,131,287
462,964
977,818
184,290
250,148
13,641
105,817",
TOTAL ASSETS,"30,323,355","20,653,197","17,291,956","12,877,773"
"LIABILITIES
Deposits from banks 34
Deposits from customers 35
Derivative liabilities 33(b)
Other liabilities 36
Current income tax payable 20
Borrowings 37
Deferred tax liability 32","2,756,472
21,894,689
33,849
680,313
138,983
1,394,796
5,614","2,464,444
14,891,277
1,885
313,181
42,671
858,740
50,805","1,643,031
11,834,675
33,849
790,766
79,506
1,223,973
-","1,598,524
8,760,630
1,885
358,653
17,781
856,330
49,087"
TOTAL LIABILITIES,"26,904,716","18,623,002","15,605,800","11,642,890"
"EQUITY
Share capital 39
Share premium 39
Retained earnings 39
Other reserves 39","17,100
98,715
1,425,037
1,775,713","17,100
98,715
919,872
926,475","17,100
98,715
787,808
782,533","17,100
98,715
532,088
586,980"
"EQUITY ATTRIBUTABLE TO OWNERS OF THE PARENT
Non-controlling interests 29","3,316,565
102,074","1,962,162
68,033","1,686,156
-","1,234,883
-"
TOTAL EQUITY,"3,418,639","2,030,195","1,686,156","1,234,883"
TOTAL LIABILITIES AND EQUITY,"30,323,355","20,653,197","17,291,956","12,877,773"
"The accompanying notes are an integral part of these consolidated and separate financial statements.
Theconsolidatedandseparatefinancialstatementswereapproved bytheBoardofDirectorsandauthorizedforissueon
13 February 2025 and signed on its behalf by :
Ugo A. Nwaghodoh Oliver Alawuba
ED Finance and Risk Management Group Managing Director/CEO
FRC/2012/ICAN/00000000272 FRC/2022/PRO/DIR/003/589226
Tony O. Elumelu, CFR
Chairman, Board of Directors
FRC/2013/PRO/DIR/003/00000002590",,,,
