0,1,2,3,4
,Strike price (N),"Number outstanding as
at 31 December 2023","Adjustment for
forfeitures","Number outstanding as
at 31 December 2023"
"13 December 2021
30 June 2022
13 December 2022
13 June 2023
Total","-
-
-
-
-","9,743,470
104,250
391,170
532,500
10,771,390","868,230
-
20,060
10,650
898,940","8,875,240
104,250
371,110
521,850
9,872,450"
