0,1,2,3,4,5,6,7
"Type of financial
instrument","Fair value
as at
30 June
2025
N'million","Fair value as
at
31 December
2024 N'million","Valuation
technique","Unobservable
input","Range of
estimates for
unobservable
inputs (30 June
2025)","Range of
estimates for
unobservable
inputs (31
December
2024)","Relationship of
unobservable inputs to fair
value"
"Unquoted equity
securities","506,552","499,506","Income
Approach
(Discounted
cash flow
method)",Cost of equity,22.4% - 37.7%,22.7% - 35.3%,"Significant increases in
costof equity,inisolation,
would result in lower fair
values. Significant
reduction would result in
higher fair values"
,,,,"Terminal
growth rate",2.7% - 3.2%,3.1% - 3.3%,"Significant increases in
terminal growth rate, in
isolation, would result in
higher fair values.
Significant reduction
would result in lower fair
values"
