0,1,2,3
,"Liability as at 31 December
2023",Adjustment for forfeitures,Adjustments
"13 December 2021
30 June 2022
13 December 2022
14 June 2023
Total","8,875,240
104,250
371,110
521,850
9,872,450","(552,510)
-
(30,090)
(21,300)
(603,900)","17,540
-
-
-
17,540"
