0,1,2,3,4,5
Retirement benefits,,31 December 2024,,31 December 2023,
,,N million,% Change,N million,% Change
Discount rate,"+0.5%
-0.5%","5,579
5,987","3.80
4.00","4,577
4,968","-4.40%
4.06%"
Salary increase,"+0.5%
-0.5%","6,013
5,554","4.50
-4.30","4,988
4,557","5.10%
-4.80%"
Age rating,"+1 year
-1 year","5,734
5,818","-0.90
0.80","4,728
4,803","-0.90%
0.90%"
