0,1,2,3,4
S/No,Name,Status,Designation,Dates of Attendance
1,"Mrs. S. O. J. Mbagwu-
Fagbemi","Shareholders’
Representative",Chairman,"30-Jan-2023
27-Apr-2023
28-Jul-2023
23-Oct-2023"
