0,1,2
Members of Committee,"No. of Meetings
Held","No. of meetings
Attended"
Mr. Adebayo A. Adeleke (Chairman),5,5
Mr. Kayode Ajakaiye (Member),5,5
Ms. Daniella F. Suleman (Member),5,5
Mr. Johnson A. Olasoko (Member),5,5
