0,1,2,3,4,5,6
,"January - June 2025
Category Frequency Amount Involved (N'M) Actual Loss (N'M) % Loss
lectronic Fraud 13,606 2,188 99 5%
Cash Theft/Suppression 1 11 11 100%
raudulent Transfer 7 165 148 89%
raudulent Account Opening 1 14 7 48%
orged Cheque 1 23 23 100%
otals 13,616 2,401 288 12%",,,,,
,January - June 2025,,,,,
,Category,Frequency,,Amount Involved (N'M),Actual Loss (N'M),% Loss
E,lectronic Fraud,"13,606",,"2,188",99,5%
,Cash Theft/Suppression,1,,11,11,100%
F,raudulent Transfer,7,,165,148,89%
F,raudulent Account Opening,1,,14,7,48%
F,orged Cheque,1,,23,23,100%
T,otals,"13,616",,"2,401",288,12%
,,,,,,
,By Order of the Board,,,,,
,,,,,,
,"Bili A. Odum
Group Company Secretary/Legal Counsel,
57 Marina, Lagos
FRC/2013/NBA/00000001954",,,,,
