0,1,2,3
Average rate during the year,,Year end spot rate,
31-Dec-23,31-Dec-22,31-Dec-23,31-Dec-22
"899.90 426.58
993.10 448.08
1,144.00 525.66",,"951.29 461.10
1052.49 492.32
1142.79 555.21",
