0,1,2,3,4
,GROUP,,,
,2025,2024,2025,2024
,N'M,N'M,N'M,N'M
Revenue,2.20,6.27,0.54,-
Other Income,,-,(95.38),-
Total Comprehensive Income,2.20,6.27,"(1,943)",-
Total Non Current Assets,"2,402","2,403","2,185","2,183"
Total Non Current Liabilities,407,407,436,436
Total Equity,"( 2,673)","( 2,624)",703,747
Earnings/(Loss) Per Share (NGN),(0.016),(0.021),(0.66),-
