0,1,2,3,4,5,6,7,8
"Property, plant and equipment
Revaluation gain on property,
plant and equipment
Employee benefits
Unrealised exchange difference
Provisions
Share based payment","Balance 1
January 2024","Recognised in
profit or loss","Recognised in
other
comprehensive
income","Balance 31
December 2024","Balance 1
January 2025","Recognised in
profit or loss","Recognised in
other
comprehensive
income","Balance 30 June
2025"
,"22,178,247 4 ,361,668 - 26,539,915 26,539,915 5,064,114 - 31,604,029
64,301,727.90 64,301,728 64,301,728 - - 64,301,728
135,374 (1,569,615) - (1,434,241) (1,434,241) 8,307 - (1,425,934)
( 68,785,892) (87,855,974) - (156,641,866) ( 156,641,866) 13,998,103 - (142,643,763)
- (3,028,523) - (3,028,523) (3,028,523) - - (3,028,523)
(15,166) (140,718) - (155,884) (155,884) 3,823 - (152,061)",,,,,,,
,"( 46,487,438) (88,233,163) 64,301,728 (70,418,872) ( 70,418,872) 19,074,347 - (51,344,525)",,,,,,,
