0,1,2,3,4,5
"In millions of Nigerian Naira
Revenue:
Derived revenue from external customers
Interest expenses
Fee and commission expense
Net impairment Gain on financial assets
Operating expenses
Depreciation and amortisation
Share of profit of equity-accounted investee
Profit before income tax
Taxation
Profit for the period
31 December 2022
Loans and advances
Deposits from customers and banks
Total segment assets
Total segment liabilities",Corporate,"Retail and
commercial","Treasury and
financial
markets","Unallocated
Segment",Total
,"298,693
(72,335)
(276)
(44,968)
(67,411)
(5,457)
-","392,005
(62,959)
(80,363)
(14,979)
(183,086)
(14,821)
311","162,166
(42,369)
(1,938)
17,979
(73,376)
(5,940)
-","- 852,864
- (177,663)
- (82,577)
-- (41,968)
- (323,873)
- (26,218)
- 311",
,"108,246
(16,489)","36,107
(5,500)","56,522
(8,610)","- 200,876
- (30,599)",
,"91,757
1,934,759
1,712,196
3,723,173
1,773,238","30,607
1,159,887
5,622,468
4,223,938
5,870,436","47,912
345,482
1,660,466
2,814,867
2,196,201","- 170,277
- 3,440,128
- 8,995,130
-
95,593 10,857,571
95,593 9,935,467",
