0,1,2,3,4
"Paints and
allied
products","Contract
revenue","Investment
property
rental
income",Unallocated,Total
"10,739,502
-
-
227,688
1,115,088","30,257
-
-
-
-
6,996","21,592
-
-
(20,360)
1,288","-
41,611
(32,079)
-
-
9,532","10,791,351
41,611
(32,079)
207,328
-
1,132,904"
