0,1,2,3,4,5,6,7,8,9
S/NO,,NAME,,STATUS,,DESIGNATION,,DATES OF,
,,,,,,,,ATTENDANCE,
1,Mr. S. Barau,,"Non-Executive
(Independent) Director",,Chairman,,"30-Jan-2023
23-Oct-2023",,
2,Mrs. H. L. Bouygues,,"Non-Executive
(Independent) Director",,Member,,"30-Jan-2023
23-Oct-2023",,
3,Mrs. C. N. Echeozo,,Non-Executive Director,,Member,,"30-Jan-2023
23-Oct-2023",,
