0,1,2,3,4,5,6,7
S/N,"Network licences
type","Date granted
/renewed","Term
(years)","Renewable
term","Licence fee
currency","Initiation/
renewal fee",Purpose/ characteristics
9,"2.6GHz (Opensky
Acquisition)",7 September 2023,10,"Renewable after
the expiration of
16 April 2033",NGN,N79.68 billion,"Spectrum license for 4th
generation (4G/LTE)
services, broadband
spectrum and enables
voice calls over IP-based
networks, video calling,
streaming and
downloading etc."
10,"3.5GHz Spectrum
Licence",24 August 2022,10,"Renewable after
the expiration of
23 August 2032",NGN,N119.28 billion,"Spectrum license for 5G
services. Enables high-
speed data services
(voice/video calls, live data
streaming, etc.)"
11,"Ntel Spectrum
Licence (900MHz and
1800 MHz)**","1 May 2023/1 May
2025",2,"Expires on 30
April 2027",NGN,N26.83 billion,"Shared operational
spectrum license,
authorises 2nd Generation
mobile services and mobile
broadband services using
3G/4G technologyn"
