0,1,2,3
"Stage 1 - 12-
month ECL","Stage 2 -
Lifetime ECL","Stage 3 -
Lifetime ECL",
"14,907
2,549
(14,000)
4,721","26
(23)
11","7,161
181
-
(4,732)","22,094
2,707
(14,000)
-"
"8,177",14,"2,610",
,,,
