0,1,2,3
Name of the party,"Nature of
transaction",Transaction value,"Outstanding balance
Due (to)/ from"
,,N'000,N'000
Green Packaging Limited,Purchases,"( 1,330,379)","(288,270)"
Celeber-8 Lyf Pvt Ltd,Sales,"1 4,424,070","12,424,070"
MCPL- BHN Division,Services,"( 1,017,728)","6,300"
Tolaram Africa Pte Ltd,Services,"(218,532)","(218,532)"
Green Packaging Limited LFZ,Capex Purchase,"( 6,818,157)","( 6,818,157)"
,Services,"( 6,024,998)","( 3,912,583)"
