0,1,2,3,4
Name of Committee,"Date(s) of meeting of the
committee in the relevant
quarter","Whether requirement of
Quorum met (details)","Date(s) of meeting of
the committee in the
previous quarter","Maximum gap
between any two
consecutive meeting
in number of days"
Audit Committee,"20th November, 2025","There was Quorum at the
meeting.",4th September 2025,90 days
"Business Development, Finance & General
Purpose
Committee",25th November 2025,"There was Quorum at the
meeting.
There was Quorum at the
meeting.",--,180 days
"Risk Management & Governance
Committee","7th November, 2025
25th November 2025","There was Quorum at the
meeting.","9th September, 2025",90 days
