0,1,2,3,4,5,6,7,8,9,10,11
Entity,Issuer,"Nature of
Exposure",Maturity Date,Face Value,Classification,"Amortized
Cost",Market Value,ECL Provision,"Fair Value Loss
(in OCI)","% Haircut to
date",Staging
UBA NY,Republic of Ghana,Eurobonds,02-Nov-27,"46,470",FVTOCI,"49,218","24,380","(18,665)","( 10,199)",55.0%,Stage 3
UBA UK,Republic of Ghana,Eurobonds,04-Jul-25,"7 ,745",Amortised cost,"6,843","6,663","(3,664)",-,47.3%,Stage 3
UBA Ghana,Republic of Ghana,Eurobonds,04-Jul-25,"35,895",Amortised cost,"34,540","31,921","(10,768)",-,30.0%,Stage 3
UBA Ghana,Republic of Ghana,Eurobonds,11-Feb-27,"21,170",Amortised cost,"20,371","18,213","(6,351)",-,30.0%,Stage 3
UBA Ghana,Republic of Ghana,Eurobonds,11-Feb-27,"9 ,810",Amortised cost,"9,440","8,440","(2,943)",-,30.0%,Stage 3
,,,Total,"121,090",,"1 20,412","89,616","(42,392)","(10,199)",,
