0,1,2,3,4
Nigeria,Africa,International,Eliminations,Total
"811,433","837,093","92,691","(133,249)","1,607,969
-"
"(369,766)
(56,312)
(62,729)
(236,238)
-","(172,780)
(50,152)
26,382
(246,137)
(5,439)","(18,060)
(91)
4,380
(32,616)
-","-
-
-
-
-","(560,606)
(106,555)
(31,965)
(514,991)
(5,439)"
"86,388","388,967","46,304","(133,249)","388,413"
"2,450
88,838","(53,711)
335,256","(1,620)
44,684","-
(133,249)","(52,881)
335,532"
"3,685,361","3 ,550,656","5 71,434","(62,490)","7,744,960"
"12,270,923","14,601,156","2,187,028","(1,460,334)","27,598,773"
"15,671,019","17,268,082","2,378,782","(2,049,421)","33,268,462"
"13,692,946","15,122,887","2,223,136","(1,986,930)","29,052,039"
,,,,
