0,1,2
"NSBP
PRINCIPLES",DEFINITION,PROGRESS UPDATE
Principle 1,"Our Business Activities:
Environmental & Social Risk
Management: Integration of
environmental and social
consideration into our lending
activities.","• All our transactions (321) were screened
for E&S risks in the period under review.
• To date, we have visited/conducted
desktop Due Diligence Assessments for
51 customers. Based on the review of
relevant documents and information
provided by the client, we came up with
action plans to be closed out by the
customers.
• We also conducted Environmental and
Social Performance monitoring for 25
existing customers to close out on
previously developed action plans"
Principle 2,"Our Business Operations:
Environmental & Social
Footprint: Avoidance of the
negative impact of our Business
Operations.","• We presently have 7 branches powered
by alternative power source (ATMs and
communication equipment). We
currently have 48 ATMs powered by"
