0,1,2,3,4
,GAN,,LAN,
Economic assumptions,31 December 2024,31 December 2023,31 December 2024,31 December 2023
Discount rate,20.60%,11.80%,20.60%,11.80%
Dividend yield,2.94%,2.66%,-,
Volatility,36.97%,34.00%,-,
Expected option lifetime,1 year,2 years,-,
