0,1
Items,Measurement bases
Non-derivative financial instruments,I n i t i a l l y m e asured at fair values and subsequently measured at amortized cost.
Employee benefits,Present value of defined benefit obligation.
Share-based payment transactions,Grant date fair value of the equity instrument issued.
