0,1,2
Award condition,Vesting,"Performance
measurement period"
"Total shareholder return
(""TSR"")","Sliding scale of 100% vesting at 75th percentile as compared to MSCI EM
Communication Services Index*, with 25% vesting at the median and
straight line vesting in between the two points. Zero vesting for below the
median. TSR will be measured by comparing the 30 day VWAP at the
beginning and end of the 3 year period plus re-invested dividends. TSR
must be positive and is measured on common currency (ZAR).","- 13 December 2021
grant: 1 January 2022 to
31 December 2024
- 13 December 2022
grant: 1 January 2023 to
31 December 2025"
"Cash generated from
operations (""CGO"")","Targeted at the average of the budgeted CGO for the 3 year measurement
period with:
- a threshold of 25% vesting at 90% of the target
- a stretch of 100% vesting at 110% of the target; and
- 0% vesting below 90% of the target.","-13 December 2021
grant: 1 January 2022 to
31 December 2024
-13 December 2022
grant: 1 January 2023 to
31 December 2025"
"Return on equity (""ROE"")","Defined as adjusted headline earnings per share/equity excluding non-
controlling interest for each year divided by 3:
- 25% vesting at 90% of budget (kick-in)
- 100% vesting at 100% of budget; and
- 0% vesting below 90% of target.","-13 December 2021
grant: 1 January 2022 to
31 December 2024
-13 December 2022
grant: 1 January 2023 to
31 December 2025"
"Environmental, social
and governance (""ESG"")","ESG comprises of emissions, broadband coverage and diversity and
inclusion as per approved business plan. Measured over the 3-year
measurement period with:
-25% vesting at threshold value (kick-in)
- 100% vesting at 100% of target; and
- straight line vesting between the kick-in and target rate.","-13 December 2021
grant: 1 January 2022 to
31 December 2024
-13 December 2022
grant: 1 January 2023 to
31 December 2025"
