0,1,2,3,4
,5% decrease,5% increase,5% decrease,5% increase
In millions of Nigerian Naira,,,,
Derivative assets,"(2,508)","2,463","(46,967)","64,629"
Derivative liabilities,(859),846,"(36,166)","26,546"
