0,1,2,3,4,5
Name of signer,FRC Number,Service provider,Service rendered,"2024
Amount (N)","2023
Amount (N)"
Funmi Ogunlowo,"FRC/2013/PRO/ICAN/
004/00000000681",Ernst & Young,"Agreed upon
procedures on bonus
calculations","4,837,500","5,321,250"
Funmi Ogunlowo,"FRC/2013/PRO/ICAN/
004/00000000681",Ernst & Young,Review of payroll,"2,356,723","2,592,395"
Funmi Ogunlowo,"FRC/2013/PRO/ICAN/
004/00000000681",Ernst & Young,"Attestation of ICFR
report","45,150,000","35,000,000"
,,,Total,"52,344,223","42,913,645"
