0,1,2,3,4,5
,,31 December 2023,,31 December 2022,
,,N'million,% Change,N'million,% Change
Discount rate,"+0.5%
-0.5%","4,836
5,040","-2.20%
2.10%","4,499
4,702","-2.20%
2.30%"
Salary increase,"+0.5%
-0.5%","5,055
4,821","2.40%
-2.30%","4,715
4,486","2.50%
-2.40%"
Age rating,"+1 year
-1 year","4,923
4,948","-0.30%
0.20%","4,642
4,665","-0.30%
0.30%"
