0,1,2
"3 03,249
(320,732)",,"231,753
(147,547)"
"(17,483)
(148)
106,358
(96,222)","(149,352)
1
35,700
( 36,366)","84,206
(1,117)
44,554
(46,396)"
"(7,495)","( 150,017)","81,247"
