0,1,2
Total,,Total
"20,077
7,394
(10,514)
(392)
(2)
2,359
11,632","124 6,759
- 716
( 109) (2,394)
( 7) (39)
- -
- 780
- 1,910","6,883
716
(2,503)
(46)
-
780
1,910"
"30,554","8 7,731","7,739"
