0,1,2,3,4,5,6,7,8
In thousands of Nigerian Naira,,,Funds under Management,,,,,
,,,,Jun-25,,,Dec-24,
,,,,,,,,
Fund I,,,,"1,589,858",,,"711,088",
,,,"60,000,245",,,,,
Fund III,,,,"13,437,370",,,"11,102,196",
,,,"2,756,299",,,,,
Fund V,,,,"25,457",,,"13,875",
,,,"499,242",,,,,
TCF1 And Reconiliation,,,,"522,210",,,"492,293",
,,,,,,,,
,Approved Existing Schemes,,,"42,921,184",,,"39,116,540",
,,,"121,751,864",,,,,
