0,1,2,3,4,5
Fair value hedges,,,,,
"Foreign exchange risk on foreign currency loan - Interest
bearing loan",-,"(774,671)",-,"( 335,066)",Interest bearing borrowings
"Foreign exchange risk on foreign currency loan - Deposit
from financial institution",-,"( 2,875,448)",-,"(552,191)","Deposit from financial
institution"
