0,1,2
"297,190
(296,849)",,"219,670
(878,205)"
"341
(341)
113,250
(112,250)","(370)
370
47,919
(53,736)","(658,535)
(381)
76,262
(77,813)"
"1 ,000","(5,817)","(660,467)"
