0,1,2,3,4,5
Nigeria,,,,,
"GT Fund GT
Manager Pension",,,,,
31.1%,,,15.99%,,
46.9% 21.91%,,,,,
,,,,,
"1,393 2,513",,,,,
25,,,218,,
,,,,,
"80,120",,,"14,175",,
,,,,,
20%-25%,,,35%- 40%,,
34.09% 21.80%,,,,,
,,,,,
Nigeria,,,,,
"GT Fund GT
Manager Pension",,,,,
,37.61%,,,45.83%,
70.65% 45.83%,,,,,
,,,,,
"3,255 2,133",,,,,
7,,,203,,
,,,,,
,"138,526",,,"37,731",
,,,,,
,20%-25%,,,35%- 40%,
37.37% 21.80%,,,,,
