0,1,2,3
Average rate during the year,,Year end spot rate,
31-Mar-25,31-Dec-24,31-Mar-25,31-Dec-24
1536.82,"899.90
993.10
1,144.00","1541.00
1710.00
2110.00","1472.15
1052.49
1142.79"
