0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
,,,,,,,,,,,,,,
,Decrease,,,"(7,381)",,,"(5,562)",,,"(32,168)",,,"(28,539)",
,Increase,,,"10,479",,,"7,897",,,"92,850",,,"82,376",
,,,,,,,,,,,,,,
