0,1,2,3,4,5
Fair value hedges,,,,,
"Foreign exchange risk on foreign currency loan - Interest
bearing loan",-,"1 ,034,080",-,"261,012","Interest
bearing
borrowing
s"
"Foreign exchange risk on foreign currency loan - Deposit
from financial institution",-,"3 ,207,461",-,"79,037","Deposit
from
financial
institution"
