0,1,2,3,4,5
"In millions of Nigerian Naira
Revenue:
Derived revenue from external customers
Interest expenses
Fee and commission expense
Impairment loss recognised in income statement
Net monetary loss on hyperinflation
Operating expenses
Depreciation and amortisation
Profit before income tax
Taxation
Profit for the period
31 December 2024
Loans and advances
Deposits from customers and banks
Total segment assets
Total segment liabilities",Corporate,"Retail and
commercial","Treasury and
financial
markets","Unallocated
Segment",Total
,"1,078,724
(233,842)
(3,647)
(227,725)
-
(190,587)
(9,287)","1,363,876
(266,428)
(230,238)
(25,514)
-
(511,321)
(24,915)","1,086,485
(338,979)
(113)
(326)
-
(295,662)
(14,407)","(342,205)
-
-
-
(10,163)
-
-","3,186,880
(839,250)
(233,998)
( 2 5 3 , 5 6 5 )-
(10,163)
(997,570)
(48,608)"
,"413,636
(19,123)","305,461
2,169","436,998
(20,203)","(352,368)
-","8 0 3 , 7 2 6-
(37,158)"
,"394,512
3,691,664
4,876,786
4,058,321
4,958,901","307,629
3,220,648
17,017,903
16,328,372
17,794,547","416,794
598,305
2,756,472
9,936,662
4,151,268","(352,368)
-
-
-
-","766,568
7,510,617
24,651,161
30,323,355
26,904,716"
