0,1,2,3,4,5
"In millions of Nigerian Naira
Revenue:
Derived revenue from external customers
Interest expenses
Fee and commission expense
Net impairment Gain on financial assets
Net monetary loss on hyperinflation
Operating expenses
Depreciation and amortisation
Segment Profit before tax
Taxation
Profit for the period
31 December 2024
Loans and advances
Deposits from customers and banks
Total segment assets
Total segment liabilities",Corporate,"Retail and
commercial","Treasury and
financial
markets","Unallocated
Segment",Total
,"302,306
(46,085)
(1,645)
(40,416)
-
(44,343)
(2,415)","820,474
(127,751)
(103,823)
(19,678)
-
(293,084)
(15,963)","559,966
(155,099)
(51)
(118)
-
(108,792)
(5,925)","(311,699)
-
-
(4,282)
-
-","1,371,047
(328,935)
(105,519)
(60,212)
(4,282)
(446,219)
(24,303)"
,"167,402
(35,524)","260,175
11,842","289,981
(61,536)","(315,981)
-","401,577
(85,217)"
,"131,878
3,691,664
4,876,786
4,058,321
4,958,901","272,017
3,220,648
17,017,903
16,328,372
17,794,547","228,445
598,305
2,756,472
9,936,662
4,151,268","(315,981)
-
-
-
-","316,360
7,510,617
24,651,161
-
30,323,355
26,904,716"
