0,1,2,3,4,5,6
In thousands of Nigerian Naira,Funds under Management,,,,,
,,Dec-23,,,Dec-22,
,,,,,,
Fund I,,"197,167",,,"68,947",
,"37,996,225",,,,,
Fund III,,"5,943,874",,,"5,045,196",
,"1,724,829",,,,,
Fund V,,"5,086",,,"1,832",
,"49,034",,,,,
Privately Managed Funds:,,,,,,
,"33,882,334",,,,,
TOTAL,,"79,798,549",,,"59,388,039",
