0,1,2,3,4,5,6
S/No,Name,Status,Designation,,DATES OF,
,,,,,ATTENDANCE,
1,Mrs. H. L. Bouygues,"Non-Executive (Independent)
Director",Chairman,"25-Apr-2024
28-Oct-2024",,
2,Mr J. K. O. Agbaje,Group Chief Executive Officer,Member,"25-Apr-2024
28-Oct-2024",,
3.,Mrs. C. N. Echeozo,Non-Executive Director,Member,"25-Apr-2024
28-Oct-2024",,
