0,1,2,3,4,5,6
,,,,,,
Sep-25,3 months,,6 months,12 months,2 years,More than 2 years
Fair value hedging,₦'millions,,₦'millions,₦'millions,,
Hedging assets,-,,"10,614","2 1,907","488,148",-
,,,,,,
