0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
In thousands of Nigerian Naira,,,Asset under Management,,,,,,,,,Interest Held by the Group,,,,,
Investment funds,,,Dec-23,,,Dec-22,,,,,,Dec-23,,,Dec-22,,
,,,"20,355,812",,,"11,220,260",,,,,,,,,,,
,Guaranty Trust Guaranteed Income Fund,,,"11,164,911",,,"10,214,224",,,,,,"122,794",,,"116,888",
,,,"2,776,814",,,"2,162,505",,,,,,,,,,,
,Guaranty Trust Dollar Fund,,,"25,473,343",,,"15,576,971",,,,,,"59,564",,,"51,004",
,,,"585,902",,,"335,399",,,,,,,,,,,
,Kedari Investment Fund,,,-,,,"180,428",,,,,,-,,,-,
,,,"60,356,783",,,"39,689,788",,,,,,,,,,,
