0,1,2,3,4,5
Food,,Beverage,,Total,
Jan- Mar 2025,Jan- Mar 2024,Jan- Mar 2025,Jan- Mar 2024,Jan- Mar 2025,Jan- Mar 2024
"189,148,118","117,034,014","105,736,681","66,450,145","294,884,799","183,484,159"
"(112,307,422)
(5,872,862)
29,308,905
(14,348,039)","(88,439,435)
(1,900,100)
9,298,767
(135,423,793)","(62,855,806)
(2,951,380)
44,837,658
(8,643,743)","(45,975,966)
(856,301)
11,622,942
( 81,583,872)","( 175,163,228)
( 8,824,242)
74,146,563
( 22,991,782)","( 134,415,401)
( 2,756,401)
20,921,710
( 217,007,666)"
