0,1,2,3,4,5
Food,,Beverage,,Total,
2024,2023,2024,2023,2024,2023
"616,470,043","353,698,856","342,344,696","193,419,898","958,814,739","547,118,754"
"(420,334,431)
(18,875,733)
108,946,297
(243,045,802)","(216,335,445)
(7,768,276)
82,197,878
(142,166,886)","(232,125,465)
(10,065,084)
58,929,965
(146,419,009)","(113,609,902)
( 3,904,712)
41,589,718
( 85,646,139)","( 652,459,896)
( 28,940,817)
167,876,262
( 389,464,811)","( 329,945,347)
( 11,672,988)
123,787,596
( 227,813,025)"
