0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
,,,,,,,,,,,,,,
,Decrease,,,"15,374",,,"14,298",,,"(19,565,929)",,,"(17,236,713)",
,Increase,,,"(44,375)",,,"(41,269)",,,"21,977,762",,,"19,361,430",
