0,1,2,3,4
"BATCH
NO.","YEAR OF
GRADUATION",SITE,"NO.
ADMITTED","NO. OF
GRADUATES"
1,2013,AGBARA,16,13
2,2015,,16,14
3,2017,,20,20
4,2019,,20,20
5,2021,,20,20
6,2022,,20,20
7,2023,,20,Still in session
Total,,,132,107
1,2023,FLOWERGATE,20,Still in session
Total,,,20,0
1,2019,ABAJI,12,12
2,2021,,20,20
3,2023,,20,Still in session
Total,,,52,32
GRAND TOTAL,,,204,139
