0,1,2,3,4
S/N,NAME OF DIRECTOR,TRAINING,FACILITATOR,DATE
1.,Ojinika Olaghere,"Booth Executive Education
Program on Portfolio
Management.","Chicago Booth School of
Business","June 9 - 13, 2025"
,,,,
Shareholders and Regulatory Engagement,,,,
