0,1,2,3,4
"Paints and
allied
products","Contract
revenue","Investment
property
rental
income",Unallocated,Total
"2,922,797
-
-
95,577
-
468,197","-
-
-
-
-
0","2,012
-
(5,091)
(3,079)","-
17,066
(10,855)
-
-
6,211","2,924,809
17,066
(10,855)
90,486
78,351
471,329"
