0,1,2,3
"Group
Dec. 2023",,"Bank
Dec. 2023",
"175,155
2,081,261
697,528
429,915
2,686,563","127,738
652,007
351,280
139,441
1,283,163","46,883
1,763,642
230,732
410,471
2,585,578",
"6,070,422","2,553,629","5,037,306","2,154,971"
(926),-,(926),
"6,069,496","2,553,629","5,036,380","2,154,971"
