0,1,2,3
NAME DESIGNATION,,,
"Mr. Tony Elumelu, CFR Chairman
Mrs. Owanari Duke Independent Non-Executive Director
Ms. Angela Aneke Independent Non-Executive Director
Erelu Angela Adebayo Non-Executive Director
Dr. Kayode Fasola Non-Executive Director
Mr. Abdulqadir J. Bello Non-Executive Director
Ms. Aisha Hassan Baba, OON Independent Non-Executive Director
Mrs. Caroline Anyanwu Non-Executive Director",,,
Mr. Oliver Alawuba Group Managin,,g Director/CEO,
Mr. Muyiwa Akinyemi,Deputy Managi,ng Director,
"Ms Emem Usoro (1) Executive Director, North Bank
Ms Sola Yomi-Ajayi Executive Director, International Banking
Mr. Ugochukwu Nwaghodoh Executive Director, Finance and Risk Management
Mr. Alex Alozie Executive Director, Group Chief Operating Officer",,,
