0,1,2,3
"Group
Dec. 2023",,"Bank
Dec. 2023",
"2,256,416
697,528
273,274","779,745
351,280
129,507","1,810,525
230,732
156,641",
"3,227,218","1,260,532","2,197,898","820,436"
